plot,species,count
5,acac cons,1
5,alli inca,9
5,astr nutt,79
5,chae stev,3
5,desc pinn,11
5,dich pulc,1
5,erod cicu,16
5,guti saro,2
5,hoff dens,3
5,lesq gord,27
5,muhl port,2
5,oeno prim,5
5,phac ariz,1
5,rume hyme,6
5,sola elea,2
7,acac cons,4
7,alli inca,2
7,astr nutt,125
7,desc pinn,11
7,erag lehm,1
7,erio aber,3
7,erod cicu,63
7,lepi lasi,51
7,lesq gord,46
7,muhl port,3
7,oeno prim,1
7,sida proc,2
10,acac cons,1
10,ambr arte,1
10,astr nutt,92
10,chae stev,3
10,desc pinn,2
10,ephe trif,1
10,erio aber,26
10,erod cicu,63
10,hoff dens,3
10,lesq gord,14
10,lupi conc,1
10,oeno prim,2
10,pani mili,2
10,plan purs,1
10,rume hyme,4
16,acac cons,3
16,astr nutt,75
16,chae stev,4
16,desc obtu,1
16,desc pinn,6
16,dich pulc,1
16,erag lehm,2
16,erig dive,2
16,erio aber,39
16,erod cicu,29
16,hoff dens,13
16,lepi lasi,2
16,lesq gord,1
16,oeno prim,2
16,phac ariz,3
16,plan purs,11
16,pseu cane,1
16,sper echi,1
23,acac cons,1
23,astr nutt,92
23,chae stev,8
23,desc pinn,9
23,dich pulc,1
23,erag lehm,4
23,eria diff,3
23,erod cicu,22
23,guti saro,1
23,lesq gord,51
23,lina bige,3
23,plan purs,36
23,trid pulc,6
24,acac cons,6
24,alli inca,1
24,astr allo,1
24,astr nutt,46
24,bail mult,1
24,chae stev,2
24,cryp cras,2
24,desc pinn,9
24,erag lehm,4
24,eria diff,1
24,erod cicu,16
24,guti saro,3
24,hoff dens,3
24,laen coul,2
24,lepi lasi,1
24,lesq gord,58
24,lyci torr,2
24,muhl port,1
24,phac ariz,1
24,plan purs,6
24,sola elea,3
24,trid pulc,1
